【初音未来 - 卡面】

姓名: 初音未来
登场卡面数: 60

---- 实装日期 | 卡名 | 星级 | 属性 | 技能名 | 关联活动 ----
2024-01-01 | 超级超级失落 | 3 | cool | 为了和大家一起演出 | 惜别谢幕
2024-01-01 | 重合的歌声 | 4 | happy | 希望这首歌能够传达到 | Echo my melody
2024-01-01 | 学姐的目光 | 3 | cool | 因为最棒了 | Little Bravers！
2024-01-01 | 很擅长料理？ | 3 | happy | 惊心动魄的烹调过程？！ | Never Give Up Cooking！
2024-01-01 | 第一次踏上的街道！ | 4 | happy | 想尽量为大家多出一份力 | 在乐声共鸣的街角
2024-01-01 | 横滨郊游指南满眼是美食♪ | 4 | mysterious | 咖喱、卡斯特拉，还有…… | 启航前的一日游
2024-01-01 | 就是要光彩夺目 | 2 | mysterious | 让我收下这份悔恨 | On Your Feet
2025-08-30 | Happy Anniversary！！Stamp | bd | mysterious | 说说你最喜欢的“未来”？ | 
2024-01-01 | 获得闪亮笑容的魔法 | 4 | cute | “未来”的话 | 响彻「世界」！Your Song
2025-02-28 | Origin Style | 2 | pure | 未来的音色是 | 
2025-02-28 | Brand New Classroom | 2 | cool | 因为她们就像流星一样 | 
2025-02-28 | Brand New Stage | 2 | happy | 未来的报恩 | 
2025-02-28 | Brand New Street | 2 | cute | 为了能笑着说出 | 
2025-02-28 | Brand New Wonderland | 2 | mysterious | 能实现任何愿望的宝物 | 
2025-02-28 | Brand New Empty | 2 | pure | 静静地去守护变化 | 
2025-09-12 | 在湖畔 | 2 | cool | 随时都可以来找我 | 水底寻影
2026-02-07 | feat.凯蒂猫 | 4 | mysterious | 你好！新朋友♪ | 
2024-01-01 | 能感受到轨迹的伤痕 | 4 | pure | 热热闹闹打包观摩！ | 刻下的伤痕，总有一天
2025-07-05 | 在门的另一边 | 4 | mysterious | 现在，就我们两个一起 | OVER RAD SQUAD!!
2025-08-13 | 寄托心愿 | 4 | cool | 互帮互助的“心愿” | 和你在「世界」的起点
2025-08-30 | Happy Anniversary！！2025 | bd | cool | GO！大郊游会！ | 
2025-12-11 | 感受到的目光 | 4 | happy | 特别的伴手礼 | Grow glorious glow
2025-10-24 | Let's enjoy the movie！ | 2 | cute | 好期待和大家看电影啊！ | 
2025-10-24 | 来自窗扉的「世界」 | 4 | cool | 我会一直等着的 | 
2026-03-27 | 被回响的心愿包围 | 4 | cool | 为了一直做大家的学姐 | Find the dream view
2026-07-25 | 交织的界线 | 4 | happy | 幻想协奏录 | 
2026-05-31 | 突如其来的危机 | 4 | cute | 美式风潮 | Aim higher and higher！
2026-08-30 | 蹦蹦晚上好！ | 3 | cute | 蹦蹦蹦——！ | Deep Dark For Light
2026-08-30 | Happy Anniversary！！2026 | bd | pure | 未来100%纪念日演唱会？！ | 
2026-09-06 | 牢记约定 | 4 | happy | 为“我”感到自豪 | Link the Beats！
2026-08-15 | 指引之歌 | 4 | cool | 为了再次一起歌唱 | 
2026-09-27 | 偶尔享受悠闲的时光 | 2 | mysterious | 守护某人的回忆 | Our Golden Days
