【日野森雫 - カード】

名前: 日野森雫
カード枚数: 56

---- 実装日 | カード名 | レアリティ | 属性 | スキル名 | 関連イベント ----
2024-12-11 | 揺るがぬ覚悟の輝き | 4 | happy | 祝いの団らん | Grow glorious glow
2025-01-16 | Let's enjoy the movie！ | 2 | cute | お花柄お揃いなの、どうかしら？ | 
2025-01-31 | 糸の花に見とれて | 4 | happy | 時には穏やかな時間を | このひと針に想いを込めて
2025-02-10 | お試しスキンケア | 3 | cool | モアモアリハーサル！ | Rise and Strive
2025-05-23 | 頑張ってるみんなに癒しを | 2 | mysterious | 繋がれたバトン | Cheer with my Heart!
2025-07-23 | ホッとする朝ごはん | 4 | pure | スペシャルナビゲーター | start rolling! stars' crossing
2025-08-08 | 完璧な微笑 | 4 | pure | 思い出話に花を咲かせて | All ways Jump! with you
2025-09-19 | feat.ふらわっち | 2 | pure | お花でおめかしを | 
2025-10-21 | いつかと重なる景色 | 4 | mysterious | 想いのこもったお便り | 交わる色はあの日のままに
2025-12-01 | Happy Birthday！！2025 | bd | pure | 積み重ねていきたいもの | 
2025-12-21 | 待ちわびた瞬間 | 3 | pure | ほっとするひと時 | この物語は希望をのせて
2026-03-10 | 目移りしちゃうわ！ | 4 | pure | 元気のみなもと | Open up new horizons！
2026-03-30 | 足跡をたどって | 4 | cool | 成長したがゆえの | 残照のInside Direction
2026-05-31 | 理想の素材を求めて | 3 | cute | ダンスに込めた祈り | 最果てへと飛ぶキミへ
2026-06-08 | 想いをのせたワンカット | 4 | mysterious | 秘密を知って | Into the New Light
2026-06-30 | 素敵な笑顔のお手伝い | 2 | cute | 贅沢ファッションショー | アイドル・花里みのり～夢の最前線～
2026-08-09 | 信頼に応えるために | 4 | cute | お揃いのちから | Leap Beyond The Limits！
2026-09-03 | ロミオとシンデレラ | 4 | cool | 黒いレースの境界線 | 
