【鳳えむ - カード】

名前: 鳳えむ
カード枚数: 55

---- 実装日 | カード名 | レアリティ | 属性 | スキル名 | 関連イベント ----
2025-02-28 | 一緒に、ありがとうを込めて | 4 | pure | ホワイトデーの団らん | Connect hearts message
2025-04-22 | 凛と、未来を語って | 4 | mysterious | 楽しい勉強の時間 | Choices for the future
2025-05-09 | にこにこ笑顔のステージで | 4 | happy | 楽しい時間をあと少しだけ | Dear my fellows
2025-07-07 | 気になる劇団 | 2 | pure | 未来に思いを馳せて | Deeper and deeper
2025-08-30 | スマイルフェアリー | 4 | cool | カラフルなプレゼント | Deep Dark For Light
2025-09-08 | Happy Birthday！！2025 | bd | cool | えむ王国のプリンセス！？ | 
2025-09-30 | にこにこスタンプラリー | 3 | cute | メラメラぱちぱちプシュー | Our Golden Days
2025-11-10 | ハピハピハッピーなおもてなし | 4 | cute | ムキムキメンタリティ | 超克のプロタゴニスタ
2025-12-10 | 甘くて楽しいお友達！ | 3 | happy | 校外学習にしゅっぱーつ☆ | ともに、トゥルールートを目指して
2025-12-31 | あたしの帰る場所 | 4 | cool | 暴走！ワンダーステージ！？ | 新年言祝ぐ、祈りの舞
2026-02-19 | びっくりなそっくりさん！？ | 4 | mysterious | わくわく作戦会議☆ | CHANGE！えむは王女さま！？
2026-03-30 | はりきり応援団長 | 2 | mysterious | CMにワクワクを込めて | 残照のInside Direction
2026-04-18 | 前を向いて歩こう | 4 | happy | どんなミクちゃんに会えるかな？ | 約束のPasserelle
2026-06-20 | 胸の奥でいつも | 4 | pure | 懐かしいお客さん | Phantom maze monster
2026-09-04 | Happy Birthday！！2026 | bd | mysterious | GO！わくわくアークランド | 
