【箱曲】

数量: 135

---- 曲名 | アーティスト | 作詞 | 作曲 | 編曲 | 実装日 | 関連イベント | 分類 | ジャケット | 試聴音源 | 歌唱バージョン ----
ワンスアポンアドリーム | YASUHIRO(康寛) | YASUHIRO(康寛) | YASUHIRO(康寛) | YASUHIRO(康寛) | 2021-02-28 | スマイルオブドリーマー | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_105/jacket_s_105.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0105_01/vs_0105_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
天使のクローバー | DIVELA | DIVELA | DIVELA | DIVELA | 2021-03-30 | 届け！HOPEFUL STAGE♪ | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_112/jacket_s_112.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0112_01/vs_0112_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
アイディスマイル | とあ | とあ | とあ | とあ | 2021-04-19 | シークレット・ディスタンス | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_116/jacket_s_116.png | https://storage.sekai.best/sekai-jp-assets/music/short/se_0116_01/se_0116_01_short.mp3 | セカイver. / アナザーボーカルver. / アナザーボーカルver. / アナザーボーカルver. / アナザーボーカルver. / バーチャル・シンガーver.
シネマ | Ayase | Ayase | Ayase | Ayase | 2021-05-08 | STRAY BAD DOG | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_126/jacket_s_126.png | https://storage.sekai.best/sekai-jp-assets/music/short/se_0126_01/se_0126_01_short.mp3 | セカイver. / アナザーボーカルver. / バーチャル・シンガーver. / アナザーボーカルver.
トンデモワンダーズ | sasakure.UK | sasakure.UK | sasakure.UK | sasakure.UK(Key 岸田勇気(有形ランペイジ)) | 2021-06-19 | ワンダーマジカルショウタイム！ | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_127/jacket_s_127.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0127_01/vs_0127_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver. / アナザーボーカルver. / アナザーボーカルver.
フロムトーキョー | 夏代孝明 | 夏代孝明 | 夏代孝明・渡辺拓也 | 渡辺拓也 | 2021-07-07 | Unnamed Harmony | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_130/jacket_s_130.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0130_01/vs_0130_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver. / アナザーボーカルver.
「１」 | 164 | 164 | 164 | 164 | 2021-04-21 | Resonate with you | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_132/jacket_s_132.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0132_01/vs_0132_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver. / アナザーボーカルver.
アイスドロップ | Aqu3ra | Aqu3ra | Aqu3ra | Aqu3ra | 2021-08-18 | ハッピー・ラブリー・エブリデイ！ | mv | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_140/jacket_s_140.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0140_01/vs_0140_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver.
再生 | ピコン | ピコン | ピコン | ピコン | 2021-09-29 | 灯のミラージュ | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_142/jacket_s_142.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0142_01/vs_0142_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver. / アナザーボーカルver.
アイノマテリアル | Junky | Junky | Junky | Junky | 2021-05-21 | 頑張るあなたにBreak Time！ | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_144/jacket_s_144.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0144_01/vs_0144_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver.
カナデトモスソラ | ササノマリイ | Sasanomaly | Sasanomaly | Sasanomaly | 2021-06-21 | カーネーション・リコレクション | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_149/jacket_s_149.png | https://storage.sekai.best/sekai-jp-assets/music/short/se_0149_01/se_0149_01_short.mp3 | セカイver. / アナザーボーカルver. / アナザーボーカルver. / アナザーボーカルver. / アナザーボーカルver. / バーチャル・シンガーver. / アナザーボーカルver.
Beat Eater | ポリスピカデリー | ポリスピカデリー | ポリスピカデリー | ポリスピカデリー | 2021-07-09 | Awakening Beat | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_156/jacket_s_156.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0156_01/vs_0156_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver. / アナザーボーカルver. / アナザーボーカルver. / アナザーボーカルver.
STAGE OF SEKAI | 針原翼（はりーP） | 針原翼（はりーP） | 針原翼（はりーP） | 棚橋 EDDY テルアキ | 2021-11-18 | 揺るがぬ想い、今言葉にして | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_159/jacket_s_159.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0159_01/vs_0159_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver. / アナザーボーカルver. / アナザーボーカルver. / アナザーボーカルver.
ショウタイム・ルーラー | カラスヤサボウ | 烏屋茶房 | 烏屋茶房 | 烏屋茶房 | 2021-10-29 | Revival my dream | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_160/jacket_s_160.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0160_01/vs_0160_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
Glory Steady Go! | キノシタ | キノシタ | キノシタ | キノシタ | 2021-08-20 | マーメイドにあこがれて | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_166/jacket_s_166.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0166_01/vs_0166_01_short.mp3 | バーチャル・シンガーver. / セカイver.
流星のパルス | *Luna | *Luna | *Luna | *Luna | 2021-09-10 | Knock the Future!! | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_173/jacket_s_173.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0173_01/vs_0173_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
にっこり^^調査隊のテーマ | ワンダフル☆オポチュニティ！ | じーざす | じーざす | ワンダフル☆オポチュニティ！ | 2022-01-19 | POP IN MY HEART!! | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_178/jacket_s_178.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0178_01/vs_0178_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver.
ミライ | 有機酸 | 有機酸 | 有機酸 | 有機酸 | 2021-12-29 | Same Dreams,Same Colors | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_180/jacket_s_180.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0180_01/vs_0180_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver. / アナザーボーカルver.
Flyer! | Chinozo | Chinozo | Chinozo | Chinozo | 2022-02-16 | Legend still vivid | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_182/jacket_s_182.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0182_01/vs_0182_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver. / アナザーボーカルver.
ロウワー | ぬゆり | ぬゆり | ぬゆり | ぬゆり | 2021-10-31 | ボクのあしあと キミのゆくさき | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_187/jacket_s_187.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0187_01/vs_0187_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver. / アナザーボーカルver. / アナザーボーカルver.
ノマド | バルーン | バルーン | バルーン | バルーン | 2022-03-28 | 空白のキャンバスに描く私は | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_189/jacket_s_189.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0189_01/vs_0189_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver. / アナザーボーカルver.
ワールドワイドワンダー | TOKOTOKO(西沢さんP) | TOKOTOKO | TOKOTOKO | TOKOTOKO | 2021-12-10 | MOREMOREMakingXmas | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_193/jacket_s_193.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0193_01/vs_0193_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver.
オーダーメイド | 傘村トータ | 傘村トータ（LIVE LAB.） | 傘村トータ（LIVE LAB.） | 村田祐一（LIVE LAB.） | 2022-04-28 | Live with memories | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_196/jacket_s_196.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0196_01/vs_0196_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
トリコロージュ | 煮ル果実 | 煮ル果実 | 煮ル果実 | 煮ル果実 | 2022-01-21 | いつか、絶望の底から | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_203/jacket_s_203.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0203_01/vs_0203_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
Peaky Peaky | みきとP | みきとP | みきとP | みきとP | 2022-02-18 | あの日、空は遠かった | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_207/jacket_s_207.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0207_01/vs_0207_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver. / アナザーボーカルver. / アナザーボーカルver. / アナザーボーカルver.
メタモリボン | emon(Tes.) | emon(Tes.)・Tudiken | emon(Tes.) | emon(Tes.) | 2022-03-11 | Cast Spell on You | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_209/jacket_s_209.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0209_01/vs_0209_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver.
イフ | ユリイ・カノン（月詠み） | ユリイ・カノン | ユリイ・カノン | 月詠み | 2022-05-08 | つなぐPainful Hope | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_211/jacket_s_211.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0211_01/vs_0211_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
星空のメロディー | ぽりふぉ | ぽりふぉ | ぽりふぉ | ぽりふぉ | 2022-06-28 | 絶体絶命！？アイランドパニック！ | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_212/jacket_s_212.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0212_01/vs_0212_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
街 | jon-YAKITORY | jon-YAKITORY | jon-YAKITORY | jon-YAKITORY | 2022-07-19 | The Vivid Old Tale | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_217/jacket_s_217.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0217_01/vs_0217_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver.
88☆彡 | まらしぃ × 堀江晶太(kemu) | まらしぃ | まらしぃ、堀江晶太(kemu) | 堀江晶太(kemu) | 2022-04-11 | まばゆい光のステージで | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_224/jacket_s_224.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0224_01/vs_0224_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver. / アナザーボーカルver.
Voices | ゆよゆっぺ　 | ゆよゆっぺ | ゆよゆっぺ | ゆよゆっぺ | 2022-09-07 | Don't lose faith! | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_236/jacket_s_236.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0236_01/vs_0236_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
君の夜をくれ | 古川本舗 | 古川本舗 | 古川本舗 | 古川本舗・和音正人 | 2022-08-29 | そしていま、リボンを結んで | mv | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_237/jacket_s_237.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0237_01/vs_0237_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver.
月光 | キタニタツヤ×はるまきごはん | キタニタツヤ / はるまきごはん | キタニタツヤ / はるまきごはん | キタニタツヤ / はるまきごはん | 2022-05-20 | THE POWER OF UNITY | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_239/jacket_s_239.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0239_01/vs_0239_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver. / アナザーボーカルver.
Awake Now | 雄之助 | 牛肉 | 雄之助 | 雄之助 | 2022-05-31 | Bout for Beside You | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_244/jacket_s_244.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0244_01/vs_0244_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
バグ | かいりきベア | かいりきベア | かいりきベア | - | 2022-06-10 | 迷い子の手を引く、そのさきは | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_248/jacket_s_248.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0248_01/vs_0248_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver. / アナザーボーカルver. / アナザーボーカルver.
DREAM PLACE | EasyPop | EasyPop | EasyPop | EasyPop | 2022-10-19 | 拝啓、あの頃のわたしへ | mv | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_252/jacket_s_252.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0252_01/vs_0252_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver.
てらてら | 和田たけあき | 和田たけあき | 和田たけあき | 和田たけあき | 2022-07-21 | No seek No find | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_257/jacket_s_257.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0257_01/vs_0257_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver.
the WALL | buzzG | buzzG | buzzG | buzzG | 2022-11-18 | Echo my melody | mv | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_259/jacket_s_259.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0259_01/vs_0259_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver.
パラソルサイダー | ナナホシ管弦楽団 | ナナホシ管弦楽団 | 岩見 陸 | ナナホシ管弦楽団 | 2022-08-10 | 青空の先、輝きを追いかけて | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_264/jacket_s_264.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0264_01/vs_0264_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
仮死化 | 遼遼 | 遼遼 | 遼遼 | 遼遼 | 2022-12-19 | Find A Way Out | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_267/jacket_s_267.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0267_01/vs_0267_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver.
虚ろを扇ぐ | 獅子志司 | 獅子志司 | 獅子志司 | 獅子志司 | 2022-09-20 | Walk on and on | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_280/jacket_s_280.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0280_01/vs_0280_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver.
星空オーケストラ | 水野あつ | 水野あつ | 水野あつ | 水野あつ、雪乃イト | 2023-01-19 | 夢の途中、輝く星たちへ | mv | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_282/jacket_s_282.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0282_01/vs_0282_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
私は、私達は | Guiano | Guiano | Guiano | Guiano | 2023-02-17 | ほどかれた糸のその先に | mv | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_287/jacket_s_287.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0287_01/vs_0287_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
フロート・プランナー | Heavenz | Heavenz | Heavenz | Heavenz | 2022-11-30 | あの日の夢の、彼方向こうへ | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_295/jacket_s_295.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0295_01/vs_0295_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
ザムザ | てにをは | てにをは | てにをは | てにをは | 2023-03-28 | イミシブル・ディスコード | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_300/jacket_s_300.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0300_01/vs_0300_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
Iなんです | れるりり | れるりり | れるりり | tepe | 2022-11-20 | 願いは、いつか朝をこえて | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_304/jacket_s_304.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0304_01/vs_0304_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver.
ももいろの鍵 | いよわ | いよわ | いよわ | いよわ | 2023-04-28 | Re-tie Friendship | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_308/jacket_s_308.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0308_01/vs_0308_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
Flyway | halyosy | halyosy | halyosy | halyosy | 2023-01-21 | Little Bravers！ | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_310/jacket_s_310.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0310_01/vs_0310_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver.
ひつじがいっぴき | Peg | Peg | Peg | Peg | 2023-02-19 | Kick it up a notch | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_316/jacket_s_316.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0316_01/vs_0316_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
箱庭のコラル | koyori | koyori | koyori | koyori | 2023-05-29 | カナリアは窮境に歌う | mv | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_324/jacket_s_324.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0324_01/vs_0324_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
Mr. Showtime | ひとしずく×やま△ | ひとしずく×やま△ | ひとしずく×やま△ | ひとしずく×やま△ | 2023-03-11 | 天の果てのフェニックスへ | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_333/jacket_s_333.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0333_01/vs_0333_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver.
演劇 | ナノウ | ナノウ | ナノウ | ナノウ | 2023-07-19 | 仮面の私にさよならを | mv | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_345/jacket_s_345.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0345_01/vs_0345_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver.
相生 | やいり | やいり | やいり | やいり | 2023-04-11 | Get over it. | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_351/jacket_s_351.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0351_01/vs_0351_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
キティ | ツミキ | ツミキ | ツミキ | ツミキ | 2023-04-30 | ボク達の生存逃走 | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_353/jacket_s_353.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0353_01/vs_0353_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
リアライズ | 柊マグネタイト | 柊マグネタイト / C'Na | 柊マグネタイト / C'Na | 柊マグネタイト / 雪乃イト | 2023-08-19 | On Your Feet | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_356/jacket_s_356.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0356_01/vs_0356_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver.
下剋上 | Misumi | Misumi | Misumi | Misumi | 2023-06-10 | Light Up the Fire | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_373/jacket_s_373.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0373_01/vs_0373_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
チームメイト | HoneyWorks | HoneyWorks | HoneyWorks | HoneyWorks | 2023-06-20 | STEP by STEP！ | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_374/jacket_s_374.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0374_01/vs_0374_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
星を繋ぐ | 40mP × 一二三 (12340mP) | 一二三 | 40mP | 40mP × 一二三 (12340mP) | 2023-07-21 | つなぐ、星の歌 | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_375/jacket_s_375.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0375_01/vs_0375_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver.
