【暁山瑞希 - カード】

名前: 暁山瑞希
カード枚数: 55

---- 実装日 | カード名 | レアリティ | 属性 | スキル名 | 関連イベント ----
2025-01-16 | Let's enjoy the movie！ | 2 | pure | キャラメル味もいいよね♪ | 
2025-01-31 | 楽しい刺繍の時間 | 3 | cute | バレンタインのヒント？ | このひと針に想いを込めて
2025-03-10 | ドーナツとピース！ | 4 | mysterious | キミにぴったりの猫 | You are my HERO!!
2025-03-20 | “みんな”で打ち上げ | 2 | cute | がんばったで賞をキミに | Unreliable Notes
2025-04-30 | そばにいられるように | 3 | mysterious | たくさんのあったかさを込めて | そして、針は動き出す
2025-06-09 | カワイイをご案内 | 4 | happy | 安らげる場所 | 泡沫に抱かれて
2025-08-22 | ボクのまま描く明日 | 4 | happy | 姉との時間 | ほどけぬ明日に手を伸ばして
2025-08-26 | Happy Birthday！！2025 | bd | mysterious | スポジョイパークでエンジョイ♪ | 
2025-09-19 | feat.ラブリっち | 2 | mysterious | ラブリーコーディネート♪ | 
2025-09-30 | とびきりの笑顔を中継！ | 4 | pure | 仲間と重ねる思い出 | Our Golden Days
2026-01-11 | 不穏を察して | 3 | cool | 選ばれた喜び | 覚めない幻想をノックして
2026-01-31 | 楽しい腹の探り合い | 4 | cute | 嘘じゃないよ？ | 粉砕せよ！アンヴァレンタインの復讐
2026-03-20 | 服作り奮闘中 | 4 | cute | たくさんの選択肢から | Amid the Wavering Light
2026-05-31 | 小さなキミとのささやかな時間 | 4 | happy | 止まらないお喋り | 最果てへと飛ぶキミへ
2026-07-09 | みんなとなら、どこだって | 2 | pure | シロップはオリジナルブレンド♪ | 褪せない今を、彩って
2026-07-19 | 重なる想いと過去 | 4 | happy | セカイのカイト事情？ | 君の隣、君と見る明日
2026-08-22 | Happy Birthday！！2026 | bd | cool | 魅惑のハンドメイド | 
