【初音ミク - カード】

名前: 初音ミク
カード枚数: 66

---- 実装日 | カード名 | レアリティ | 属性 | スキル名 | 関連イベント ----
2022-11-11 | 重なる歌声 | 4 | happy | この歌が届きますように | Echo my melody
2023-01-21 | 先輩の視線 | 3 | cool | だって最高だから！ | Little Bravers！
2023-02-28 | 料理は得意？ | 3 | happy | ハラハラクッキング！？ | Never Give Up Cooking！
2023-03-30 | 初めてのストリート！ | 4 | happy | もっと、みんなの力になりたくて | 交響する街の片隅で
2023-05-11 | 横浜ガイドはグルメの予感♪ | 4 | mysterious | カレー、カステラ、それから…… | 船出の前のワンデイトリップ
2023-08-10 | ギラギラしてこそ | 2 | mysterious | この悔しさを預けて | On Your Feet
2023-08-30 | Happy Anniversary！！2023 | bd | mysterious | あなたが好きな“ミク”を教えて？ | 
2023-08-31 | キラキラ笑顔の魔法 | 4 | cute | 『ミク』のお話 | セカイに響け！Your Song
2023-09-29 | Origin Style | 2 | pure | 未来の音色は | 
2023-09-29 | Brand New Classroom | 2 | cool | 流れ星のような子達だから | 
2023-09-29 | Brand New Stage | 2 | happy | ミクの恩返し | 
2023-09-29 | Brand New Street | 2 | cute | 笑って言うために | 
2023-09-29 | Brand New Wonderland | 2 | mysterious | なんでも願いが叶う宝物 | 
2023-09-29 | Brand New Empty | 2 | pure | 変化を静かに見守って | 
2023-11-08 | 湖畔にて | 2 | cool | いつでも会いに来て | 水底に影を探して
2023-12-05 | feat.ハローキティ | 4 | mysterious | ハロー！ニューフレンズ♪ | 
2024-02-20 | 軌跡感じる傷痕 | 4 | pure | ドタバタ荷造り見学！ | 刻まれた傷は、やがて
2024-06-30 | 扉の向こうへ | 4 | mysterious | 今はただ、ふたりで | OVER RAD SQUAD!!
2024-08-17 | 想いを託して | 4 | cool | 支え、助け合う『想い』 | キミと、セカイの始まりで
2024-08-30 | Happy Anniversary！！2024 | bd | cool | GO！大遠足会！ | 
2024-12-11 | 感じ取った眼光 | 4 | happy | とっておきのお土産 | Grow glorious glow
2025-01-16 | Let's enjoy the movie！ | 2 | cute | みんなで映画、楽しみだね！ | 
2025-01-16 | 窓のセカイから | 4 | cool | いつでも、待ってるよ | 
2025-03-30 | 響く想いに包まれて | 4 | cool | みんなの先輩でいるために | Find the dream view
2025-05-03 | 交わる境界 | 4 | happy | 幻想協奏録 | 
2025-05-31 | 突然の危機 | 4 | cute | アメリカンブーム | Aim higher and higher！
2025-08-30 | ぴょぴょんとこんばんは！ | 3 | cute | ぴょんぴょんぴょーん！ | Deep Dark For Light
2025-08-30 | Happy Anniversary！！2025 | bd | pure | ミク100％記念日ライブ！？ | 
2025-09-06 | 約束を胸に | 4 | happy | 『わたし』への誇らしさ | Link the Beats！
2025-09-19 | 導きの歌 | 4 | cool | もう一度、一緒に歌うために | 
2025-09-30 | 時には穏やかな時間を | 2 | mysterious | 誰かの思い出に寄り添って | Our Golden Days
2025-10-31 | お礼のアイス | 3 | mysterious | 冷たいけど冷たくない | Colors of Pure Sense
2026-03-20 | お気に入りの服 | 4 | cute | いつも通りのセカイ | Amid the Wavering Light
2026-04-18 | 力になれる喜び | 4 | cute | 再会を信じて | 約束のPasserelle
2026-06-30 | ミクちゃんに密着取材！ | 4 | mysterious | てんこ盛りのライブ | アイドル・花里みのり～夢の最前線～
2026-08-26 | Happy Anniversary！！2026 | bd | cute | みんなが笑顔になれること | 
2026-08-29 | 久しぶりの学級会 | 2 | pure | 親愛なる“私”へ | Mix&Make Party Time!!
