【翻唱】

数量: 461

---- 曲名 | 创作者 | 作词 | 作曲 | 编曲 | 实装日期 | 关联活动 | 分类 | 曲绘 | 试听音频 | 演唱版本 ----
Just Be Friends | Dixie Flatline | Dixie Flatline | Dixie Flatline | - | 2021-10-02 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_027/jacket_s_027.png | https://storage.sekai.best/sekai-cn-assets/music/short/0027_01/0027_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver.
ドクター＝ファンクビート | nyanyannya（大天才P） | nyanyannya（大天才P） | nyanyannya（大天才P） | nyanyannya（大天才P） | 2020-06-09 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_028/jacket_s_028.png | https://storage.sekai.best/sekai-cn-assets/music/short/0028_01/0028_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver.
ミラクルペイント | OSTER project feat. 初音ミク | OSTER project | OSTER project | OSTER project | 2021-10-12 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_036/jacket_s_036.png | https://storage.sekai.best/sekai-cn-assets/music/short/0036_01/0036_01_short.mp3 | 虚拟歌手ver. / 「世界」ver.
ブリキノダンス | 日向電工 | 日向電工 | 日向電工 | 日向電工 | 2020-06-09 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_038/jacket_s_038.png | https://storage.sekai.best/sekai-cn-assets/music/short/0038_01/0038_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver.
スイートマジック | Junky | Junky | Junky | - | 2025-01-01 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_041/jacket_s_041.png | https://storage.sekai.best/sekai-cn-assets/music/short/0041_01/0041_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver. / 虚拟歌手ver.
ネクストネスト | さつき が てんこもり feat. 初音ミク | さつき が てんこもり | さつき が てんこもり | - | 2020-06-09 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_043/jacket_s_043.png | https://storage.sekai.best/sekai-cn-assets/music/short/0043_01/0043_01_short.mp3 | 虚拟歌手ver.
Hand in Hand | livetune | kz | kz | kz | 2025-04-07 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_044/jacket_s_044.png | https://storage.sekai.best/sekai-cn-assets/music/short/0044_01/0044_01_short.mp3 | 虚拟歌手ver.
39みゅーじっく！ | みきとP | みきとP | みきとP | - | 2021-10-15 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_045/jacket_s_045.png | https://storage.sekai.best/sekai-cn-assets/music/short/0045_01/0045_01_short.mp3 | 虚拟歌手ver.
グリーンライツ・セレナーデ | Omoi feat. 初音ミク | Sakurai | Omoi | Omoi | 2021-12-28 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_046/jacket_s_046.png | https://storage.sekai.best/sekai-cn-assets/music/short/0046_01/0046_01_short.mp3 | 虚拟歌手ver.
メルト | ryo  (supercell) | ryo | ryo | ryo | 2020-06-09 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_047/jacket_s_047.png | https://storage.sekai.best/sekai-cn-assets/music/short/0047_01/0047_01_short.mp3 | 虚拟歌手ver.
ワールドイズマイン | ryo  (supercell) | ryo | ryo | ryo | 2025-04-05 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_048/jacket_s_048.png | https://storage.sekai.best/sekai-cn-assets/music/short/0048_01/0048_01_short.mp3 | 虚拟歌手ver.
初音ミクの消失 | cosMo@暴走P | cosMo@暴走P | cosMo@暴走P | - | 2020-06-09 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_049/jacket_s_049.png | https://storage.sekai.best/sekai-cn-assets/music/short/0049_01/0049_01_short.mp3 | 虚拟歌手ver.
Blessing | halyosy feat. VOCALOIDS | halyosy | halyosy | - | 2025-01-01 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_050/jacket_s_050.png | https://storage.sekai.best/sekai-cn-assets/music/short/0050_01/0050_01_short.mp3 | 虚拟歌手ver.
ハロ／ハワユ | ナノウ | ナノウ | ナノウ | - | 2020-06-09 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_066/jacket_s_066.png | https://storage.sekai.best/sekai-cn-assets/music/short/0066_01/0066_01_short.mp3 | 虚拟歌手ver. / 「世界」ver.
自傷無色 | ササノマリイ | ササノマリイ | ササノマリイ | - | 2025-01-01 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_067/jacket_s_067.png | https://storage.sekai.best/sekai-cn-assets/music/short/0067_01/0067_01_short.mp3 | 虚拟歌手ver. / 「世界」ver.
ダンスロボットダンス | ナユタン星人 | ナユタン星人 | ナユタン星人 | ナユタン星人 | 2021-10-06 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_068/jacket_s_068.png | https://storage.sekai.best/sekai-cn-assets/music/short/0068_01/0068_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / 虚拟歌手ver.
フラジール | ぬゆり | ぬゆり | ぬゆり | ぬゆり | 2020-06-09 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_069/jacket_s_069.png | https://storage.sekai.best/sekai-cn-assets/music/short/0069_01/0069_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver. / 虚拟歌手ver. / 偶像梦幻祭2联动ver.
メルティランドナイトメア | はるまきごはん | はるまきごはん | はるまきごはん | はるまきごはん | 2021-10-24 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_070/jacket_s_070.png | https://storage.sekai.best/sekai-cn-assets/music/short/0070_01/0070_01_short.mp3 | 虚拟歌手ver. / 「世界」ver.
ツギハギスタッカート | とあ | とあ | とあ | とあ | 2020-06-09 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_071/jacket_s_071.png | https://storage.sekai.best/sekai-cn-assets/music/short/0071_01/0071_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / 虚拟歌手ver.
ブレス・ユア・ブレス | 和田たけあき | 和田たけあき | 和田たけあき | 和田たけあき | 2022-01-03 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_072/jacket_s_072.png | https://storage.sekai.best/sekai-cn-assets/music/short/0072_01/0072_01_short.mp3 | 虚拟歌手ver.
ニア | 夏代孝明 | 夏代孝明 | 夏代孝明 | 渡辺拓也 | 2021-10-01 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_073/jacket_s_073.png | https://storage.sekai.best/sekai-cn-assets/music/short/0073_01/0073_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver.
独りんぼエンヴィー | koyori（電ポルP） | koyori | koyori | koyori | 2021-12-13 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_074/jacket_s_074.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0074_01/vs_0074_01_short.mp3 | 虚拟歌手ver. / 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver.
ウミユリ海底譚 | n-buna | n-buna | n-buna | n-buna | 2025-04-03 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_075/jacket_s_075.png | https://storage.sekai.best/sekai-cn-assets/music/short/0075_01/0075_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver.
ぼうけんのしょがきえました！ | ワンダフル☆オポチュニティ！ | じーざす | じーざす | ワンダフル☆オポチュニティ！ | 2020-06-09 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_078/jacket_s_078.png | https://storage.sekai.best/sekai-cn-assets/music/short/0078_01/0078_01_short.mp3 | 虚拟歌手ver. / 「世界」ver.
夜咄ディセイブ | じん | じん | じん | じん | 2025-04-19 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_081/jacket_s_081.png | https://storage.sekai.best/sekai-cn-assets/music/short/0081_01/0081_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver. / Another Vocal ver.
alive | 市瀬るぽ | 市瀬るぽ | 市瀬るぽ | - | 2020-09-29 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_082/jacket_s_082.png | https://storage.sekai.best/sekai-cn-assets/music/short/0082_01/0082_01_short.mp3 | 虚拟歌手ver.
Gimme×Gimme | 八王子P × Giga | q*Left | 八王子P / Giga | 八王子P / Giga | 2021-10-09 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_083/jacket_s_083.png | https://storage.sekai.best/sekai-cn-assets/music/short/0083_01/0083_01_short.mp3 | 虚拟歌手ver.
ジャンキーナイトタウンオーケストラ | すりぃ | すりぃ | すりぃ | - | 2025-05-05 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_084/jacket_s_084.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0084_01/vs_0084_01_short.mp3 | 虚拟歌手ver.
Leia - Remind | ゆよゆっぺ | ゆよゆっぺ | ゆよゆっぺ | ゆよゆっぺ | 2025-04-03 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_085/jacket_s_085.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0085_01/vs_0085_01_short.mp3 | 虚拟歌手ver.
on the rocks | OSTER project | OSTER project | OSTER project | OSTER project | 2025-05-05 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_086/jacket_s_086.png | https://storage.sekai.best/sekai-cn-assets/music/short/0086_01/0086_01_short.mp3 | 虚拟歌手ver.
恋愛裁判 | 40mP | 40mP | 40mP | 40mP | 2025-04-17 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_087/jacket_s_087.png | https://storage.sekai.best/sekai-cn-assets/music/short/0087_01/0087_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver.
チュルリラ・チュルリラ・ダッダッダ！ | 和田たけあき(くらげP) | 和田たけあき(くらげP) | 和田たけあき(くらげP) | 和田たけあき(くらげP) | 2025-04-03 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_088/jacket_s_088.png | https://storage.sekai.best/sekai-cn-assets/music/short/se_0088_01/se_0088_01_short.mp3 | 「世界」ver. / Another Vocal ver.
ドラマツルギー | Eve | Eve | Eve | Numa | 2021-12-27 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_091/jacket_s_091.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0091_01/vs_0091_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver.
乙女解剖 | DECO*27 | DECO*27 | DECO*27 | emon(Tes.) & Rockwell | 2025-04-15 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_092/jacket_s_092.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0092_01/vs_0092_01_short.mp3 | 虚拟歌手ver. / Another Vocal ver. / 「世界」ver. / Another Vocal ver.
青く駆けろ！ | まらしぃ | まらしぃ | まらしぃ | - | 2021-10-16 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_093/jacket_s_093.png | https://storage.sekai.best/sekai-cn-assets/music/short/se_0093_01/se_0093_01_short.mp3 | 「世界」ver. / 愚人节ver. / 虚拟歌手ver.
とても痛い痛がりたい | EZFG | EZFG | EZFG | EZFG | 2025-04-03 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_094/jacket_s_094.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0094_01/vs_0094_01_short.mp3 | 虚拟歌手ver. / 「世界」ver.
威風堂々 | 梅とら | 梅とら | 梅とら | 梅とら | 2022-03-14 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_095/jacket_s_095.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0095_01/vs_0095_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver. / Another Vocal ver. / 愚人节ver.
from Y to Y | ジミーサムP | ジミーサムP | ジミーサムP | - | 2022-03-21 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_096/jacket_s_096.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0096_01/vs_0096_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver.
ロストワンの号哭 | Neru | Neru | Neru | - | 2025-04-29 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_098/jacket_s_098.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0098_01/vs_0098_01_short.mp3 | 虚拟歌手ver. / 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver. / Another Vocal ver.
ECHO | Crusher P | Crusher P | Crusher P | - | 2025-05-05 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_100/jacket_s_100.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0100_01/vs_0100_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver.
幽霊東京 | Ayase | Ayase | Ayase | Ayase | 2025-05-05 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_102/jacket_s_102.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0102_01/vs_0102_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver.
サンドリヨン 10th Anniversary | Dios/シグナルP | orange | Dios/シグナルP | Dios/シグナルP | 2022-12-31 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_104/jacket_s_104.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0104_01/vs_0104_01_short.mp3 | 虚拟歌手ver.
お気に召すまま | Eve | Eve | Eve | Numa | 2025-04-03 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_106/jacket_s_106.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0106_01/vs_0106_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver.
ミルククラウン・オン・ソーネチカ | ユジー | ユジー | ユジー | ユジー | 2022-02-05 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_107/jacket_s_107.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0107_01/vs_0107_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver.
愛されなくても君がいる | ピノキオピー | ピノキオピー | ピノキオピー | ピノキオピー | 2021-11-29 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_108/jacket_s_108.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0108_01/vs_0108_01_short.mp3 | 虚拟歌手ver.
ヒビカセ | GigaReol | れをる | ギガ | ギガ | 2022-01-17 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_109/jacket_s_109.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0109_01/vs_0109_01_short.mp3 | 虚拟歌手ver.
カトラリー | 有機酸 | 有機酸 | 有機酸 | 有機酸 | 2022-09-20 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_111/jacket_s_111.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0111_01/vs_0111_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver.
ローリンガール | wowaka | wowaka | wowaka | wowaka | 2025-04-08 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_113/jacket_s_113.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0113_01/vs_0113_01_short.mp3 | 虚拟歌手ver.
裏表ラバーズ | wowaka | wowaka | wowaka | wowaka | 2025-04-10 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_114/jacket_s_114.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0114_01/vs_0114_01_short.mp3 | 虚拟歌手ver.
アンノウン・マザーグース | wowaka | wowaka | wowaka | wowaka | 2025-04-16 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_115/jacket_s_115.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0115_01/vs_0115_01_short.mp3 | 虚拟歌手ver.
ODDS＆ENDS | ryo  (supercell) | ryo | ryo | ryo | 2021-12-23 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_117/jacket_s_117.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0117_01/vs_0117_01_short.mp3 | 虚拟歌手ver.
＊ハロー、プラネット。 | sasakure.UK | sasakure.UK | sasakure.UK | sasakure.UK | 2021-12-30 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_118/jacket_s_118.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0118_01/vs_0118_01_short.mp3 | 虚拟歌手ver.
ワールズエンド・ダンスホール | wowaka | wowaka | wowaka | wowaka | 2025-04-12 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_119/jacket_s_119.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0119_01/vs_0119_01_short.mp3 | 虚拟歌手ver.
いかないで | 想太 | 想太 | 想太 | - | 2025-04-27 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_120/jacket_s_120.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0120_01/vs_0120_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver.
ロミオとシンデレラ | doriko | doriko | doriko | doriko | 2025-04-30 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_121/jacket_s_121.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0121_01/vs_0121_01_short.mp3 | 虚拟歌手ver. / 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver.
ポジティブ☆ダンスタイム | キノシタ | キノシタ | キノシタ | キノシタ | 2022-02-18 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_122/jacket_s_122.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0122_01/vs_0122_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver. / 愚人节ver.
どりーみんチュチュ | emon(Tes.) | emon(Tes.) | emon(Tes.) | emon(Tes.) | 2022-04-11 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_123/jacket_s_123.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0123_01/vs_0123_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver. / Another Vocal ver.
みくみくにしてあげる♪【してやんよ】 | ika | ika_mo | ika_mo | ika_mo | 2025-04-14 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_124/jacket_s_124.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0124_01/vs_0124_01_short.mp3 | 虚拟歌手ver.
ボッカデラベリタ | 柊キライ | 柊キライ | 柊キライ | 柊キライ | 2025-05-05 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_125/jacket_s_125.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0125_01/vs_0125_01_short.mp3 | 虚拟歌手ver. / 「世界」ver.
Brand New Day | いるかアイス | いるかアイス | いるかアイス | いるかアイス | 2022-02-21 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_128/jacket_s_128.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0128_01/vs_0128_01_short.mp3 | 虚拟歌手ver.
ビターチョコデコレーション | syudou | syudou | syudou | syudou | 2022-07-27 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_129/jacket_s_129.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0129_01/vs_0129_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver. / Another Vocal ver. / Another Vocal ver.
初音ミクの激唱 | cosMo@暴走P | GAiA | cosMo@暴走P | cosMo@暴走P | 2022-03-29 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_131/jacket_s_131.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0131_01/vs_0131_01_short.mp3 | 虚拟歌手ver.
悪魔の踊り方 | キタニタツヤ | キタニタツヤ | キタニタツヤ | - | 2022-10-07 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_133/jacket_s_133.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0133_01/vs_0133_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / 愚人节ver.
テレキャスタービーボーイ | すりぃ | すりぃ | すりぃ | すりぃ | 2025-04-03 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_134/jacket_s_134.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0134_01/vs_0134_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver.
六兆年と一夜物語 | kemu | kemu | kemu | kemu | 2022-07-11 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_135/jacket_s_135.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0135_01/vs_0135_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver. / 愚人节ver.
チルドレンレコード | じん | じん | じん | じん | 2025-04-03 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_136/jacket_s_136.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0136_01/vs_0136_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver.
花を唄う | シノ | シノ | シノ | シノ | 2025-04-03 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_137/jacket_s_137.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0137_01/vs_0137_01_short.mp3 | 虚拟歌手ver.
KING | Kanaria | Kanaria | Kanaria | - | 2025-04-21 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_138/jacket_s_138.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0138_01/vs_0138_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver. / Another Vocal ver. / 偶像梦幻祭2联动ver.
